date,product,category,demand,price,promotion_flag,month,quarter,week_of_year,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6
2020-01-26,Product_A,Beverages,254.05,87.74,1,1,1,4,267.28,279.73,202.49,249.83333333333334,249.83333333333334
2020-02-02,Product_A,Beverages,212.08,30.93,0,2,1,5,254.05,267.28,279.73,267.02,250.8875
2020-02-09,Product_A,Beverages,206.27,54.36,0,2,1,6,212.08,254.05,267.28,244.47,243.12600000000003
2020-02-16,Product_A,Beverages,203.07,36.84,0,2,1,7,206.27,212.08,254.05,224.13333333333335,236.98333333333335
2020-02-23,Product_A,Beverages,220.32,42.48,0,2,1,8,203.07,206.27,212.08,207.14000000000001,237.08
2020-03-01,Product_A,Beverages,213.11,73.89,0,3,1,9,220.32,203.07,206.27,209.88666666666666,227.1783333333333
2020-03-08,Product_A,Beverages,206.15,18.48,0,3,1,10,213.11,220.32,203.07,212.16666666666666,218.15
2020-03-15,Product_A,Beverages,215.44,27.79,0,3,1,11,206.15,213.11,220.32,213.19333333333336,210.16666666666666
2020-03-22,Product_A,Beverages,214.79,48.01,0,3,1,12,215.44,206.15,213.11,211.5666666666667,210.72666666666666
2020-03-29,Product_A,Beverages,279.44,52.14,1,3,1,13,214.79,215.44,206.15,212.12666666666667,212.14666666666665
2020-04-05,Product_A,Beverages,196.43,54.01,0,4,2,14,279.44,214.79,215.44,236.5566666666667,224.875
2020-04-12,Product_A,Beverages,230.22,28.86,0,4,2,15,196.43,279.44,214.79,230.22,220.89333333333335
2020-04-19,Product_A,Beverages,272.15,29.7,1,4,2,16,230.22,196.43,279.44,235.36333333333334,223.745
2020-04-26,Product_A,Beverages,246.71,39.4,1,4,2,17,272.15,230.22,196.43,232.9333333333333,234.745
2020-05-03,Product_A,Beverages,195.84,41.76,0,5,2,18,246.71,272.15,230.22,249.69333333333336,239.95666666666668
2020-05-10,Product_A,Beverages,207.05,55.7,0,5,2,19,195.84,246.71,272.15,238.23333333333335,236.79833333333332
2020-05-17,Product_A,Beverages,238.87,89.02,1,5,2,20,207.05,195.84,246.71,216.53333333333333,224.73333333333335
2020-05-24,Product_A,Beverages,223.56,29.9,0,5,2,21,238.87,207.05,195.84,213.92,231.80666666666664
2020-05-31,Product_A,Beverages,224.58,20.55,0,5,2,22,223.56,238.87,207.05,223.16,230.69666666666663
2020-06-07,Product_A,Beverages,200.48,23.69,0,6,2,23,224.58,223.56,238.87,229.00333333333333,222.76833333333335
2020-06-14,Product_A,Beverages,210.56,19.77,0,6,2,24,200.48,224.58,223.56,216.20666666666668,215.06333333333336
2020-06-21,Product_A,Beverages,203.45,39.39,0,6,2,25,210.56,200.48,224.58,211.87333333333333,217.51666666666668
2020-06-28,Product_A,Beverages,208.38,50.42,0,6,2,26,203.45,210.56,200.48,204.83,216.91666666666666
2020-07-05,Product_A,Beverages,225.02,68.49,1,7,3,27,208.38,203.45,210.56,207.46333333333334,211.835
2020-07-12,Product_A,Beverages,195.69,52.03,0,7,3,28,225.02,208.38,203.45,212.28333333333333,212.07833333333335
2020-07-19,Product_A,Beverages,176.69,47.07,0,7,3,29,195.69,225.02,208.38,209.6966666666667,207.26333333333332
2020-07-26,Product_A,Beverages,169.85,53.14,0,7,3,30,176.69,195.69,225.02,199.13333333333333,203.29833333333332
2020-08-02,Product_A,Beverages,188.68,33.7,0,8,3,31,169.85,176.69,195.69,180.74333333333334,196.51333333333332
2020-08-09,Product_A,Beverages,164.05,20.77,0,8,3,32,188.68,169.85,176.69,178.40666666666667,194.05166666666665
2020-08-16,Product_A,Beverages,182.62,27.09,0,8,3,33,164.05,188.68,169.85,174.19333333333336,186.66333333333333
2020-08-23,Product_A,Beverages,174.01,28.99,0,8,3,34,182.62,164.05,188.68,178.45000000000002,179.59666666666666
2020-08-30,Product_A,Beverages,153.05,55.45,0,8,3,35,174.01,182.62,164.05,173.56000000000003,175.98333333333335
2020-09-06,Product_A,Beverages,156.46,47.03,0,9,3,36,153.05,174.01,182.62,169.89333333333335,172.04333333333332
2020-09-13,Product_A,Beverages,153.06,79.55,0,9,3,37,156.46,153.05,174.01,161.17333333333332,169.81166666666667
2020-09-20,Product_A,Beverages,161.76,31.66,0,9,3,38,153.06,156.46,153.05,154.19000000000003,163.87500000000003
2020-09-27,Product_A,Beverages,210.7,40.32,1,9,3,39,161.76,153.06,156.46,157.09333333333333,163.49333333333334
2020-10-04,Product_A,Beverages,165.86,67.73,0,10,4,40,210.7,161.76,153.06,175.17333333333332,168.17333333333332
2020-10-11,Product_A,Beverages,128.39,87.88,0,10,4,41,165.86,210.7,161.76,179.44000000000003,166.815
2020-10-18,Product_A,Beverages,172.49,17.77,0,10,4,42,128.39,165.86,210.7,168.3166666666667,162.70499999999998
2020-10-25,Product_A,Beverages,161.51,52.7,0,10,4,43,172.49,128.39,165.86,155.58,165.37666666666667
